AP Name,Status,Total user,Availability
CMU_AGR_BA_AP1143,"up 46d,3h,39m",0,98.65%
CMU_AGR_BA_AP1144,"up 41d,15h,54m",0,98.94%
CMU_AGR_BA_AP1145,"up 6d,19h,24m",0,97.35%
CMU_AGR_BA_AP1146,"up 46d,3h,39m",0,97.50%
CMU_AGR_BA_AP1147,"up 46d,3h,39m",1,97.53%
CMU_AGR_BA_AP1148,"up 46d,3h,39m",0,97.46%
CMU_AGR_BA_AP1149,"up 46d,3h,39m",0,96.96%
CMU_AGR_BA_AP1150,"up 6d,19h,24m",0,98.08%
CMU_AGR_BA_AP1151,"up 46d,3h,39m",0,97.49%
CMU_AGR_BA_AP1152,"up 46d,3h,39m",0,97.45%
CMU_AGR_BA_AP5740,"up 70d,13h,4m",0,99.54%
CMU_AGR_BA_AP5741,"up 14d,19h,24m",1,98.80%
CMU_AGR_BA_AP5742,"up 3d,19h,14m",4,98.49%
CMU_AGR_BA_AP5743,"up 70d,13h,4m",0,99.63%
CMU_AGR_BA_AP5744,"up 70d,13h,4m",1,99.16%
CMU_AGR_BA_AP5745,"up 70d,13h,4m",0,99.30%
CMU_AGR_BA_AP5746,"up 5d,19h,14m",0,98.84%
CMU_AGR_BA_AP5747,"up 12d,19h,24m",1,97.87%
CMU_AGR_BA_AP5748,"up 6d,19h,24m",0,98.16%
CMU_AGR_BA_AP5749,"up 6d,19h,24m",0,98.61%
CMU_AGR_BA_AP5750,"up 70d,13h,4m",0,98.18%
CMU_AGR_BA_AP5751,"up 6d,19h,24m",0,98.17%
CMU_AGR_BA_AP5752,"up 70d,13h,4m",2,98.53%
CMU_AGR_BA_AP5753,"up 70d,13h,4m",0,98.01%
CMU_AGR_BA_AP5754,"up 2d,6h,34m",1,97.96%
CMU_AGR_BA_AP5755,"up 14d,19h,24m",1,98.96%
CMU_AGR_BA_AP5756,"up 2d,19h,24m",0,98.60%
CMU_AGR_BA_AP5757,"up 2d,19h,24m",0,98.08%
CMU_AGR_BA_AP5758,"up 2d,19h,24m",0,98.99%
CMU_AGR_BA_AP5759,"up 18d,15h,4m",0,98.69%
CMU_AGR_BA_AP5760,"up 18d,15h,4m",2,97.96%
CMU_AGR_BA_AP5761,"up 2d,19h,24m",0,98.40%
CMU_AGR_BA_AP5762,"up 18d,15h,4m",0,99.45%
CMU_AGR_BA_AP5763,"up 2d,19h,24m",0,97.95%
CMU_AGR_BA_AP5764,"up 7d,19h,24m",0,98.71%
CMU_AGR_BA_AP5765,"up 46d,3h,39m",0,97.87%
CMU_AGR_BA_AP5766,"up 6d,19h,24m",0,97.88%
CMU_AGR_BA_AP5767,"up 6d,19h,24m",0,98.64%
CMU_AGR_BA_AP5768,"up 6d,19h,24m",0,98.63%
CMU_AGR_BA_AP5769,"up 6d,19h,24m",0,98.71%
CMU_AGR_BA_AP5770,"up 6d,19h,24m",0,99.46%
CMU_AGR_BA_AP5771,"up 46d,3h,39m",0,99.14%
CMU_AGR_BA_AP5772,"up 6d,19h,24m",0,99.41%
CMU_AGR_BA_AP5773,"up 46d,3h,39m",0,99.51%
CMU_AGR_BA_AP5774,"up 6d,19h,24m",0,99.46%
CMU_AGR_BA_AP5775,"up 6d,19h,24m",0,99.35%
CMU_AGR_BA_AP5947,"up 70d,13h,4m",0,98.95%
CMU_AGR_BA_AP5948,"up 70d,13h,4m",0,98.13%
CMU_AGR_BA_AP5949,"up 70d,13h,4m",0,98.34%
CMU_AGR_BA_AP5950,"up 28d,19h,24m",0,98.10%
CMU_AGR_BA_AP5951,"up 70d,13h,4m",2,98.35%
CMU_AGR_BA_AP5952,"up 2d,19h,24m",2,98.96%
CMU_AGR_BA_AP5953,"up 2d,19h,24m",2,99.13%
CMU_AGR_BA_AP6659,"up 6d,19h,24m",0,99.83%
CMU_AGR_BA_AP7448,"up 46d,3h,39m",0,96.89%
CMU_AGR_BUS_AP6399,"up 3d,19h,24m",3,97.83%
CMU_AGR_BUS_AP6400,"up 2d,19h,24m",9,97.93%
CMU_AGR_CLEANWT_AP7729,"up 4d,19h,19m",0,98.92%
CMU_AGR_CLEANWT_AP7730,"up 5d,7h,44m",1,98.83%
CMU_AGR_CLEANWT_AP7731,"up 4d,19h,19m",0,98.92%
CMU_AGR_CLEANWT_AP7732,"up 1d,19h,19m",0,98.93%
CMU_AGR_CLEANWT_AP7733,"up 4d,19h,19m",0,99.01%
CMU_AGR_CLEANWT_AP8018,"up 5d,7h,44m",0,98.48%
CMU_AGR_CULT_AP0221,"up 16d,19h,24m",0,97.62%
CMU_AGR_CULT_AP0222,"up 2d,11h,49m",0,97.67%
CMU_AGR_CULT_AP0223,"up 8d,19h,24m",1,97.62%
CMU_AGR_CULT_AP1191,"up 8d,19h,24m",0,97.37%
CMU_AGR_CULT_AP1192,"up 40d,8h,59m",0,97.54%
CMU_AGR_CULT_AP1193,"up 40d,8h,59m",0,97.54%
CMU_AGR_CULT_AP5623,"up 40d,8h,59m",0,98.74%
CMU_AGR_EDU_AP0165,"up 70d,4h,59m",0,99.01%
CMU_AGR_EDU_AP0166,"up 70d,4h,59m",0,99.17%
CMU_AGR_EDU_AP0167,"up 14d,19h,24m",3,98.50%
CMU_AGR_EDU_AP0168,"up 2d,19h,24m",39,98.41%
CMU_AGR_EDU_AP0169,"up 70d,5h,14m",0,99.28%
CMU_AGR_EDU_AP0170,"up 2d,19h,24m",12,93.79%
CMU_AGR_EDU_AP0171,"up 70d,5h,4m",0,98.37%
CMU_AGR_EDU_AP0172,"up 70d,5h,9m",0,97.50%
CMU_AGR_EDU_AP0173,"up 70d,4h,59m",0,98.92%
CMU_AGR_EDU_AP0174,"up 18d,14h,59m",1,96.44%
CMU_AGR_EDU_AP0953,"up 70d,5h,4m",0,94.50%
CMU_AGR_EDU_AP0954,"up 2d,19h,24m",0,93.13%
CMU_AGR_EDU_AP0955,"up 70d,5h,4m",1,94.54%
CMU_AGR_EDU_AP0956,"up 70d,5h,4m",0,94.50%
CMU_AGR_EDU_AP0957,"up 20d,4h,59m",1,94.90%
CMU_AGR_EDU_AP0958,"up 70d,5h,4m",0,98.56%
CMU_AGR_EDU_AP0959,"up 70d,5h,4m",0,98.49%
CMU_AGR_EDU_AP0960,"up 70d,5h,4m",0,96.22%
CMU_AGR_EDU_AP0961,"up 64d,12h,9m",0,99.13%
CMU_AGR_EDU_AP0962,"up 70d,5h,4m",2,91.42%
CMU_AGR_EDU_AP0963,"up 70d,5h,4m",5,92.84%
CMU_AGR_EDU_AP0964,"up 70d,5h,4m",0,96.46%
CMU_AGR_EDU_AP0965,"up 2d,19h,24m",0,97.44%
CMU_AGR_EDU_AP0966,"up 70d,5h,4m",0,98.58%
CMU_AGR_EDU_AP0967,"up 70d,5h,4m",0,97.24%
CMU_AGR_EDU_AP0968,"up 70d,5h,4m",0,97.04%
CMU_AGR_EDU_AP0969,"up 36d,13h,24m",0,98.30%
CMU_AGR_EDU_AP0970,"up 36d,13h,24m",1,98.28%
CMU_AGR_EDU_AP0971,"up 56d,9h,44m",0,99.18%
CMU_AGR_EDU_AP0972,"up 28d,19h,24m",2,98.95%
CMU_AGR_EDU_AP0973,"up 70d,13h,4m",1,98.96%
CMU_AGR_EDU_AP0974,"up 14d,19h,24m",0,98.53%
CMU_AGR_EDU_AP0975,"up 64d,14h,24m",0,98.87%
CMU_AGR_EDU_AP0976,"up 6d,19h,24m",0,97.70%
CMU_AGR_EDU_AP0977,"up 70d,13h,4m",0,99.14%
CMU_AGR_EDU_AP0978,"up 64d,14h,24m",0,99.03%
CMU_AGR_EDU_AP0979,"up 70d,4h,59m",2,98.63%
CMU_AGR_EDU_AP0980,"up 64d,12h,9m",1,99.23%
